start,duration,text
6.219,1.061,Thank you everybody.
10.989,2.09,"Well, thank you very much. It's an honor and"
13.85,1.349,"they told me, uh"
15.619,3.6,"under no circumstances, are you allowed to use a teleprompter?"
19.229,2.83,And I got up here and I see this is beautiful teleprompter.
22.639,1.121,So here I am.
24.44,1.859,But uh it is
26.479,0.01,a
26.85,3.66,tremendous thing. It's a tremendous dinner. I've come here with my father.
30.709,3.781,"So it was three times, but it was also many times before that a"
34.84,2.68,long time ago. And it's a very special dinner
38.0,3.439,and you've done a fantastic job. Cardinal. Thank you very much. I appreciate it.
44.389,1.43,"So, I'd like to thank"
46.639,4.511,"your eminence very much. And members of the clergy, so many"
51.419,0.88,people I know
53.43,3.41,"Speaker of the House Johnson, what a job you're doing."
58.63,1.599,"He has done a great job,"
61.689,1.86,Senator Schumer. Good.
63.88,3.789,"I supported him. I was, oh, I don't know. I don't know."
67.91,1.32,He used to say that's true.
69.239,2.96,"And now I'm not sure he would, but I, I gave him his first check"
72.55,1.799,from an office in Beach Haven
75.66,2.14,and uh I was very proud of it.
77.94,1.22,I don't know about it lately.
80.839,4.9,"Now I was, I was, it was his first check. He was running and I said he's a good man."
86.239,4.021,"Uh, Senator Gillibrand, thank you very much. Thank you very much for"
90.519,1.12,"working hard,"
94.059,0.78,"Governor Hoco,"
95.33,4.28,wherever you may be up. This is a big day is right. Where is the governor?
101.489,0.65,Good job.
102.779,1.6,"It's not an easy one, is it?"
105.19,1.199,But you're doing all right.
106.4,3.04,We have to get a little money from the federal government. I have to tell you.
109.65,1.919,"It's about, it's about time,"
111.989,1.85,it's about time. Mayor Adams.
114.04,1.9,Good luck with everything. They went after you.
117.5,1.58,They went after you. Mayor.
120.76,1.619,"Oh, boy, I do that"
123.47,1.32,9.5 months ago.
124.8,3.479,"I said, and he just said something about it about the administration."
128.49,2.11,He's going to be indicted any moment
132.11,2.979,and guess what happened? But you're gonna win. I think you're gonna win.
135.1,1.959,I know you're gonna win. So good luck.
137.559,0.931,Good luck.
139.429,1.49,I don't like what they do.
141.49,1.48,I don't like what they do
